Plot,Observed,Predicted
534,0.818181818,0.47837052
535,0,0.10061741
536,0.5,0.3330866
537,0.136363636,0.20458645
538,0.090909091,0.17417853
539,0.863636364,0.60040027
540,0.166666667,0.2431103
541,0.1875,0.049745474
542,0.454545455,0.5400271
543,0.3125,0.24725494
544,0.111111111,0.3998762
545,0.363636364,0.29133633
546,0.176470588,0.0685377
547,0.714285714,0.6399491
548,0.55,0.35019764
549,0.0625,0.091340266
550,0.888888889,0.64826906
551,1,0.51180357
552,0.6,0.5885935
553,0.7,0.5701204
554,0.047619048,0.5205244
555,0.421052632,0.44829983
556,0.107142857,0.31261316
557,0.538461538,0.50956315
558,0.434782609,0.31369305
559,0.388888889,0.44558105
560,0,-0.00740505
561,0.181818182,0.19551209
562,0.466666667,0.59837115
563,0.692307692,0.49217087
564,0.176470588,0.17748846
565,0.416666667,0.6150139
566,0.785714286,0.3839375
567,0.166666667,0.14008313
568,0.461538462,0.51107377
569,0,0.11345865
570,0.882352941,0.58971876
571,0.68,0.72963744
572,0.7,0.44475108
573,0.875,0.7377196
574,0.5,0.5952123
575,0.863636364,0.59446967
576,0.5,0.43802407
577,0.4375,0.30409136
578,0.8125,0.76809984
579,0.35483871,0.5509901
580,0.35,0.12058805
581,0.285714286,0.39655134
582,0.48,0.43462616
583,0.588235294,0.6111985
584,0.166666667,0.28871244
585,0.694444444,0.70319027
586,0.882352941,0.69956267
587,0.315789474,0.41476753
588,0.884615385,0.6345183
589,0.052631579,0.16771048
590,0.285714286,0.53198427
591,0.769230769,0.67355007
592,0.125,0.19832498
593,0.681818182,0.65750617
594,0.392857143,0.5584344
595,0.333333333,0.50698346
596,0.2,0.20293206
597,0.75,0.54632574
598,0.666666667,0.7507823
599,0.846153846,0.7127908
600,0.863636364,0.61784554
601,0.333333333,0.28917956
602,0.5,0.63177943
603,0.388888889,0.41825968
604,0.555555556,0.35825473
605,0.576923077,0.43753523
606,0.285714286,0.53920406
607,0.590909091,0.32280755
608,0.08,0.40783674
609,0.32,0.42125085
610,0.807692308,0.60937935
611,0.666666667,0.5678276
612,0.944444444,0.8811855
613,0.25,0.12095643
614,0.434782609,0.59619653
615,0.642857143,0.5165228
616,0.066666667,0.30935845
617,0,0.14410229
618,0.125,0.12100771
619,0.285714286,0.24101183
620,0.238095238,0.22911084
621,0.161290323,0.27651656
622,0.75,0.43233588
623,0.545454545,0.41377586
624,0.3125,0.29985017
625,0,0.18072346
626,0.0625,0.17251907
627,0.785714286,0.6090733
628,0.058823529,0.017196126
629,0.6,0.50270057
630,0.48,0.37736604
631,0.555555556,0.41373533
632,0.368421053,0.28796157
633,0.5,0.56507707
634,0,0.2333802
635,0.888888889,0.8054891
636,0.0625,0.29579988
637,0.391304348,0.49003974
638,0.916666667,0.7519815
639,0.363636364,0.5080988
640,0.25,0.4666289
641,0.730769231,0.6549249
642,0.666666667,0.3248853
643,0.47826087,0.1945217
644,0,0.42347178
645,0.923076923,0.44142604
646,0.36,0.49511495
647,0.333333333,0.36035314
648,0.333333333,0.28945985
649,0.818181818,0.5849313
650,1,0.63749963
651,0.142857143,0.5771121
652,0.2,0.2653626
653,0.166666667,0.28658217
654,0.904761905,0.6809993
655,0.619047619,0.6095268
656,0.263157895,0.2825184
657,1,0.75289863
658,0.173913043,0.16384454
659,0.814814815,0.7040771
660,0.125,0.5512282
661,0.272727273,0.25773528
662,0,0.09737941
663,0.571428571,0.365615
664,0.846153846,0.5615123
665,0.75,0.6379647
666,0.944444444,0.82771623
667,0.777777778,0.71072376
668,0.481481481,0.7052867
669,0,0.22830582
670,0,0.3451569
671,0.166666667,0.48446387
672,0.4375,0.44823706
673,1,0.5011747
674,0.423076923,0.36994287
675,0.411764706,0.3466892
676,1,0.7471053
677,0.222222222,0.3411139
678,0.454545455,0.38349956
679,0.111111111,0.24519286
680,0.076923077,0.3094893
681,0,0.30432656
682,0.529411765,0.4398865
683,0.111111111,0.45055765
684,0,0.16829243
685,0.222222222,0.13467638
686,0.916666667,0.5210933
687,0.238095238,0.33059055
688,0.5,0.25094545
689,0.444444444,0.32368124
690,0.8,0.75465286
691,0.714285714,0.54282963
692,0.111111111,0.34445497
693,0.642857143,0.69596887
694,0.315789474,0.5243657
695,0.714285714,0.5360036
696,0.916666667,0.7519815
697,0.6,0.67662287
698,0.409090909,0.52314377
699,0.714285714,0.6067685
700,0.454545455,0.5046978
701,0.111111111,0.2578975
702,0.3,0.22570866
703,0.2,0.2782409
704,0.5,0.30085066
705,0.391304348,0.182471
706,0.730769231,0.6645709
707,0.473684211,0.2731029
708,0.6875,0.490762
709,0.611111111,0.4074316
710,0.192307692,0.14962405
711,0.090909091,0.31149417
712,0.181818182,0.19922385
713,0.869565217,0.60941947
714,0.785714286,0.71779394
715,0.090909091,0.34642565
716,0.15,0.22636777
717,0.066666667,0.14288375
718,0.291666667,0.45397446
719,0.714285714,0.4781674
720,0.153846154,0.104629524
721,0.423076923,0.24493891
722,0.409090909,0.30550712
723,0.681818182,0.6295374
724,0.538461538,0.590176
725,0,0.15621096
726,0.4375,0.45074847
727,0.333333333,0.45041978
728,0.75,0.48903126
729,0.0625,0.036791295
730,0.695652174,0.69495094
731,0.75,0.774068
732,0.263157895,0.42284545
733,0.133333333,0.5663848
734,0.8,0.54135066
735,0.285714286,0.31791157
736,0.666666667,0.62068486
737,0.896551724,0.72597045
738,0.466666667,0.2993363
739,0.32,0.4226192
740,0.166666667,0.29073074
741,0.16,0.09727509
742,0.217391304,0.3207546
743,0.333333333,0.3022442
744,0.392857143,0.61115545
745,0.7,0.58688956
746,0.6875,0.4157547
747,0.857142857,0.70476055
748,0.545454545,0.39995036
749,0.5,0.46422043
750,0.217391304,0.40480456
751,0.066666667,0.28829426
