"Observed","RF","LMM"
3,7.23836666666667,5.14867185390544
3,4.51678333333333,3.45461874767023
7,11.9156833333333,7.17723616837294
10,5.53588333333334,4.10058809343891
1,0.689083333333333,-0.0748185007803852
7,7.11323333333334,5.81048361798251
11,7.13078333333333,5.33505172186111
21,13.6582833333333,6.12929508114255
6,8.12766666666667,4.33870732422144
12,9.22541666666666,4.25209546141369
3,3.39491666666666,4.0761200149412
11,6.73068333333333,5.91458210195745
12,6.80038333333334,6.09175546681743
11,10.2506666666667,6.00384214405774
2,5.01943333333333,4.48954022331385
9,6.01068333333334,4.93093304173771
14,8.15808333333333,6.23637281721821
7,5.5056,5.69105598207128
6,7.46446666666667,4.75472638926242
16,10.2098333333333,5.54889640745421
16,8.63814999999999,5.94288502650531
6,6.14336666666667,5.65004134494048
1,3.79843333333333,7.32451943333212
3,4.16195,4.00332107591252
5,4.5841,3.9594751477501
8,5.9961,5.60164766145468
10,6.2605,5.59487177377313
3,6.36861666666666,4.05014243225994
4,7.37323333333333,6.15358011896923
2,2.81451666666667,1.1532619613239
8,6.68015,4.99631173285851
5,7.63878333333333,6.17310648113292
3,6.21733333333333,4.93517030770767
2,4.56008333333333,4.65344430322523
4,8.43495000000001,6.23119188277589
14,9.30471666666666,3.23224866693959
5,6.71856666666666,5.42477847042794
11,6.85636666666667,5.84088158964336
6,6.25976666666667,6.18369937853559
7,7.03246666666666,5.24932232338182
15,9.79581666666666,7.38189890640541
6,6.16226666666667,4.62545449488181
5,9.4593,5.74052011196602
2,1.68558333333333,0.820629118243528
8,7.72363333333333,4.94308443076227
5,7.6669,5.03676603435867
17,14.4185833333333,7.5562100466034
6,8.30589999999999,6.59966727138514
4,6.86125,5.69720642581629
13,8.60304999999999,6.68372566594913
2,8.04643333333333,4.66783699605975
9,7.0282,4.90329077606722
5,4.1261,3.11811148093106
9,6.7642,5.43491890273363
11,8.39048333333334,6.7667904427235
2,2.79961666666667,2.45081692450571
16,10.0006833333333,5.89401603462175
9,5.71765,4.8980052585357
10,7.70340000000001,5.34616883524743
4,5.35128333333334,6.08443914470758
1,6.9005,5.50267848749423
15,7.83413333333334,5.31143058633499
9,6.47525,5.12870836190706
8,6.84881666666667,4.84291068204127
2,2.04211666666667,-0.10409076226428
7,7.8685,6.2314770725667
7,6.76063333333333,5.35129926630584
6,7.26523333333333,3.77055349590533
6,6.72123333333333,5.676696705775
6,6.68821666666666,4.66446508279603
11,6.62175,4.69216643319117
0,5.52521666666666,3.94159340117907
9,7.1711,5.06045269124422
9,5.68188333333333,5.16708318660596
6,8.96081666666666,6.867260359359
10,6.41125,4.92591040070856
6,5.12416666666667,4.91267887063304
10,7.58541666666667,4.65456789090939
6,3.48215,2.46402669954228
4,4.98203333333333,3.66998831828066
1,2.92698333333333,1.23388669450793
10,7.76648333333333,5.35437193010088
11,7.4582,5.36327848515659
8,6.20268333333333,5.60853969338793
5,7.73908333333333,5.54803663056474
4,6.07776666666667,5.45970106322358
1,3.15675,6.96060557141839
4,5.66796666666667,6.21284799569994
4,5.88066666666666,4.94113917617256
8,6.89511666666666,4.6573075147649
4,7.10238333333333,6.8300446467116
10,7.39611666666667,5.37510907345733
10,10.0086166666667,6.75883150429533
12,7.50655000000001,7.73275234243463
5,6.69653333333333,6.57725489537756
5,8.45283333333334,5.02017535496938
13,7.66066666666667,5.3546347606889
12,8.75903333333333,5.36178756251728
6,8.00975000000001,4.86336176174914
6,8.92093333333333,7.32407303389066
14,8.7468,4.61617941087371
6,7.74968333333333,5.69496624880259
11,8.78708333333334,5.24924812499881
4,6.27536666666667,5.63875851708907
8,6.70006666666666,5.11237482405364
8,5.85956666666667,5.15401982376839
7,6.45345,5.9893677668114
5,4.03423333333333,5.12172891026997
8,6.67091666666667,4.79025417021072
7,9.61816666666667,6.48933574321979
6,3.48215,2.46402669954228
7,7.29216666666666,3.76445086817419
15,9.52175000000001,6.85802901409776
7,7.18536666666667,5.25333170192745
7,5.8305,4.61430857348821
7,8.82506666666667,6.69717704784115
2,0.746190476190476,0.654811553777431
10,6.41553333333334,5.77795494207783
6,7.15978333333333,5.96013009675392
